07/30/2026,CINEPLEX 8030 WEB QPS,60.38,,4783.05
07/30/2026,INDIGO 762,46.19,,4722.67
07/30/2026,SQ *LITTLE BRAZIL FOODS,13.60,,4676.48
07/29/2026,DOMINOS 10082,26.95,,4662.88
07/29/2026,FETCH* FETCHINC.COM,115.05,,4635.93
07/28/2026,FEDERATION OF LAW SOCI,525.00,,4520.88
07/26/2026,DAVIE STREET YIG,3.52,,3995.88
07/26/2026,BC LIQUOR #094,55.49,,3992.36
07/26/2026,Mon Paris Patisserie,33.06,,3936.87
07/26/2026,CONCORD PARKING,8.35,,3903.81
07/25/2026,WAL-MART SUPERCENTER#1213,55.20,,3895.46
07/25/2026,SEPHORA METROPOLIS,36.96,,3840.26
07/25/2026,SQ *LITTLE BRAZIL FOODS,92.08,,3803.30
07/24/2026,TST-bb.q Chicken Canad,26.86,,3711.22
07/24/2026,TELUS PRE-AUTH PAYMENT,76.16,,3684.36
07/24/2026,POKE BAR (DAVIE ST),22.28,,3608.20
07/24/2026,PIZZA GARDEN,21.85,,3585.92
07/23/2026,MCDONALD'S #29003,9.08,,3564.07
07/23/2026,SOPHIE'S NAILS & WAXIN,112.14,,3554.99
07/23/2026,LONDON DRUGS 50,23.22,,3442.85
07/22/2026,MCDONALD'S #29003,1.73,,3419.63
07/22/2026,BC LIQUOR #112,18.49,,3417.90
07/21/2026,BASKIN ROBBINS #363924,18.86,,3399.41
07/21/2026,REAL CDN SUPERSTORE #1,5.50,,3380.55
07/21/2026,REAL CDN SUPERSTORE #1,54.26,,3375.05
07/21/2026,APPLE.COM/BILL,3.14,,3320.79
07/21/2026,T&T SUPERMARKET #001,52.48,,3317.65
07/20/2026,URBAN FARE #7618,3.86,,3265.17
